symbol,exchange,organ_name,industry
BCF,HNX,Công ty Cổ phần Thực phẩm Bích Chi,Thực phẩm và đồ uống
BCE,HSX,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Xây dựng và Vật liệu
BCC,HNX,Công ty Cổ phần Xi măng Bỉm Sơn,Xây dựng và Vật liệu
BBS,HNX,Công ty Cổ phần VICEM Bao bì Bút Sơn,Hàng & Dịch vụ Công nghiệp
BBC,HSX,Công ty Cổ phần Bibica,Thực phẩm và đồ uống
BAX,HNX,Công ty Cổ phần Thống Nhất,Xây dựng và Vật liệu
BAF,HSX,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Thực phẩm và đồ uống
BAB,HNX,Ngân hàng Thương mại Cổ phần Bắc Á,Ngân hàng
ATS,HNX,Công ty Cổ phần Tập đoàn Đầu tư ATS,Du lịch và Giải trí
AST,HSX,Công ty Cổ phần Dịch vụ Hàng không Taseco,Bán lẻ
ASP,HSX,Công ty Cổ phần Tập đoàn Dầu khí An Pha,"Điện, nước & xăng dầu khí đốt"
ASM,HSX,Công ty Cổ phần Tập đoàn Sao Mai,Thực phẩm và đồ uống
ASG,HSX,Công ty Cổ phần Tập đoàn ASG,Hàng & Dịch vụ Công nghiệp
ARM,HNX,Công ty Cổ phần Xuất nhập khẩu Hàng không,Hàng & Dịch vụ Công nghiệp
APS,HNX,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Dịch vụ tài chính
API,HNX,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,Bất động sản
APH,HSX,Công ty Cổ phần Tập đoàn An Phát Holdings,Hàng & Dịch vụ Công nghiệp
APG,HSX,Công ty Cổ phần Chứng khoán APG,Dịch vụ tài chính
ANV,HSX,Công ty Cổ phần Nam Việt,Thực phẩm và đồ uống
AMV,HNX,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Y tế
AME,HNX,Công ty cổ phần Alphanam E&C,Hàng & Dịch vụ Công nghiệp
AMC,HNX,Công ty Cổ phần Khoáng sản Á Châu,Tài nguyên Cơ bản
ALT,HNX,Công ty Cổ phần Văn hóa Tân Bình,Truyền thông
AGR,HSX,Công ty Cổ phần Chứng khoán AGRIBANK,Dịch vụ tài chính
AGG,HSX,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản
ADS,HSX,Công ty Cổ phần DAMSAN,Hàng cá nhân & Gia dụng
ADP,HSX,Công ty Cổ phần Sơn Á Đông,Xây dựng và Vật liệu
ADG,HSX,Công ty Cổ phần Clever Group,Truyền thông
ADC,HNX,Công ty Cổ phần Mĩ thuật và Truyền thông,Truyền thông
ACL,HSX,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Thực phẩm và đồ uống
ACG,HSX,Công ty Cổ phần Gỗ An Cường,Tài nguyên Cơ bản
ACC,HSX,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Xây dựng và Vật liệu
ACB,HSX,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng
ABT,HSX,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Thực phẩm và đồ uống
ABS,HSX,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Hóa chất
ABR,HSX,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Hàng & Dịch vụ Công nghiệp
AAV,HNX,Công ty Cổ phần AAV Group,Bất động sản
AAT,HSX,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Hàng cá nhân & Gia dụng
AAM,HSX,Công ty Cổ Phần Thủy Sản MeKong,Thực phẩm và đồ uống
AAA,HSX,Công ty Cổ phần Nhựa An Phát Xanh,Hóa chất
